146542685X,https://www.amazon.com/DK-Workbooks-Computer-Coding/dp/146542685X,DK Workbooks: Computer Coding,None,DK,4.1 out of 5 stars,None,None,None,In Stock.
1133190820,https://www.amazon.com/Invitation-Computer-Science-Introduction-CS/dp/1133190820,Invitation to Computer Science (Introduction to CS),6th Edition,G.Michael Schneider,4.0 out of 5 stars,None,$20.05,$44.26,"In stock.
        
        
    
Usually ships within 3 to 4 days."
0132166755,https://www.amazon.com/Balanced-Introduction-Computer-Science-3rd/dp/0132166755,A Balanced Introduction to Computer Science (3rd Edition),3rd Edition,,3.6 out of 5 stars,None,None,None,"In stock on September 26, 2018.
        
        
    
Order it now."
0122063821,https://www.amazon.com/Computability-Complexity-Languages-Fundamentals-Theoretical/dp/0122063821,"Computability, Complexity, and Languages: Fundamentals of Theoretical Computer Science (Computer Science and Scientific Computing)",2nd Edition,Martin Davis,4.7 out of 5 stars,$18.75,$25.00,$65.65,Only 2 left in stock (more on the way).
B004J4WKUQ,https://www.amazon.com/Ready-Player-One-Ernest-Cline-ebook/dp/B004J4WKUQ,None,None,Ernest Cline,4.6 out of 5 stars,None,None,None,None
1492827843,https://www.amazon.com/Introduction-Computer-Science-Beginners-Informatics/dp/1492827843,Introduction to Computer Science: A Textbook for Beginners in Informatics,None,Gilbert Brands,3.5 out of 5 stars,None,None,None,Available to ship in 1-2 days.
B01JBL8YVK,https://www.amazon.com/Machine-Learning-Random-Forests-Decision-ebook/dp/B01JBL8YVK,None,None,Scott Hartshorn,4.5 out of 5 stars,None,None,None,None
0486780821,https://www.amazon.com/Logic-Computer-Science-Foundations-Automatic/dp/0486780821,"Logic for Computer Science: Foundations of Automatic Theorem Proving, Second Edition (Dover Books on Computer Science)",None,Jean H. Gallier,4.6 out of 5 stars,None,None,None,Only 18 left in stock (more on the way).
0262640686,https://www.amazon.com/Elements-Computing-Systems-Building-Principles/dp/0262640686,The Elements of Computing Systems: Building a Modern Computer from First Principles,,Noam Nisan&Shimon Schocken,4.6 out of 5 stars,None,$14.57,$27.93,Only 15 left in stock - order soon.
1260122646,https://www.amazon.com/Steps-AP-Computer-Science-2019/dp/1260122646,5 Steps to a 5: AP Computer Science A 2019,1st Edition,Dean R. Johnson,None,None,$10.87,$12.19,In Stock.
145492621X,https://www.amazon.com/Computer-Book-Artificial-Intelligence-Milestones/dp/145492621X,"The Computer Book: From the Abacus to Artificial Intelligence, 250 Milestones in the History of Computer Science (Sterling Milestones)",None,Simson L Garfinkel&Rachel H. Grunspan,None,None,None,None,"This title will be released on November 6, 2018."
1447166388,https://www.amazon.com/Writing-Computer-Science-Justin-Zobel/dp/1447166388,Writing for Computer Science,3rd ed. 2014 Edition,Justin Zobel,4.6 out of 5 stars,None,$10.34,$31.98,Available to ship in 1-2 days.
1465459731,https://www.amazon.com/First-Coding-Book-Kiki-Prottsman/dp/1465459731,My First Coding Book,None,Kiki Prottsman,4.9 out of 5 stars,None,None,None,In Stock.
1848829345,https://www.amazon.com/Computer-Vision-Algorithms-Applications-Science/dp/1848829345,Computer Vision: Algorithms and Applications (Texts in Computer Science),2011th Edition,Richard Szeliski,3.8 out of 5 stars,None,None,$54.67,In Stock.
076369276X,https://www.amazon.com/Get-Coding-Learn-JavaScript-Website/dp/076369276X,"Get Coding!: Learn HTML, CSS & JavaScript & Build a Website, App & Game",None,,4.8 out of 5 stars,None,None,None,In Stock.
